date,drug_name,sales
2023-03-31,Paracetamol,92
2023-04-01,Paracetamol,95
2023-04-02,Paracetamol,102
2023-04-03,Paracetamol,106
2023-04-04,Paracetamol,113
2023-04-05,Paracetamol,105
2023-04-06,Paracetamol,95
2023-04-07,Paracetamol,91
2023-04-08,Paracetamol,91
2023-04-09,Paracetamol,101
2023-04-10,Paracetamol,111
2023-04-11,Paracetamol,110
2023-04-12,Paracetamol,104
2023-04-13,Paracetamol,97
2023-04-14,Paracetamol,93
2023-04-15,Paracetamol,91
2023-04-16,Paracetamol,99
2023-04-17,Paracetamol,110
2023-04-18,Paracetamol,109
2023-04-19,Paracetamol,110
2023-04-20,Paracetamol,97
2023-04-21,Paracetamol,90
2023-04-22,Paracetamol,92
2023-04-23,Paracetamol,101
2023-04-24,Paracetamol,108
2023-04-25,Paracetamol,107
2023-04-26,Paracetamol,109
2023-04-27,Paracetamol,98
2023-04-28,Paracetamol,92
2023-04-29,Paracetamol,96
2023-04-30,Paracetamol,100
2023-05-01,Paracetamol,108
2023-05-02,Paracetamol,113
2023-05-03,Paracetamol,106
2023-05-04,Paracetamol,98
2023-05-05,Paracetamol,92
2023-05-06,Paracetamol,94
2023-05-07,Paracetamol,105
2023-05-08,Paracetamol,112
2023-05-09,Paracetamol,107
2023-05-10,Paracetamol,110
2023-05-11,Paracetamol,102
2023-05-12,Paracetamol,95
2023-05-13,Paracetamol,94
2023-05-14,Paracetamol,101
2023-05-15,Paracetamol,112
2023-05-16,Paracetamol,111
2023-05-17,Paracetamol,108
2023-05-18,Paracetamol,98
2023-05-19,Paracetamol,95
2023-05-20,Paracetamol,94
2023-05-21,Paracetamol,102
2023-05-22,Paracetamol,111
2023-05-23,Paracetamol,116
2023-05-24,Paracetamol,107
2023-05-25,Paracetamol,98
2023-05-26,Paracetamol,95
2023-05-27,Paracetamol,96
2023-05-28,Paracetamol,101
2023-05-29,Paracetamol,110
2023-05-30,Paracetamol,115
2023-05-31,Paracetamol,108
2023-06-01,Paracetamol,94
2023-06-02,Paracetamol,94
2023-06-03,Paracetamol,97
2023-06-04,Paracetamol,101
2023-06-05,Paracetamol,112
2023-06-06,Paracetamol,117
2023-06-07,Paracetamol,108
2023-06-08,Paracetamol,98
2023-06-09,Paracetamol,93
2023-06-10,Paracetamol,96
2023-06-11,Paracetamol,104
2023-06-12,Paracetamol,111
2023-06-13,Paracetamol,114
2023-06-14,Paracetamol,108
2023-06-15,Paracetamol,100
2023-06-16,Paracetamol,96
2023-06-17,Paracetamol,94
2023-06-18,Paracetamol,104
2023-06-19,Paracetamol,112
2023-06-20,Paracetamol,115
2023-06-21,Paracetamol,108
2023-06-22,Paracetamol,101
2023-06-23,Paracetamol,96
2023-06-24,Paracetamol,92
2023-06-25,Paracetamol,106
2023-06-26,Paracetamol,110
2023-06-27,Paracetamol,111
2023-06-28,Paracetamol,103
2023-06-29,Paracetamol,98
2023-06-30,Paracetamol,94
2023-07-01,Paracetamol,95
2023-07-02,Paracetamol,103
2023-07-03,Paracetamol,110
2023-07-04,Paracetamol,116
2023-07-05,Paracetamol,110
2023-07-06,Paracetamol,101
2023-07-07,Paracetamol,91
2023-07-08,Paracetamol,101
2023-07-09,Paracetamol,105
2023-07-10,Paracetamol,113
2023-07-11,Paracetamol,111
2023-07-12,Paracetamol,109
2023-07-13,Paracetamol,101
2023-07-14,Paracetamol,94
2023-07-15,Paracetamol,98
2023-07-16,Paracetamol,107
2023-07-17,Paracetamol,110
2023-07-18,Paracetamol,116
2023-07-19,Paracetamol,110
2023-07-20,Paracetamol,100
2023-07-21,Paracetamol,92
2023-07-22,Paracetamol,100
2023-07-23,Paracetamol,106
2023-07-24,Paracetamol,109
2023-07-25,Paracetamol,114
2023-07-26,Paracetamol,110
2023-07-27,Paracetamol,102
2023-07-28,Paracetamol,95
2023-07-29,Paracetamol,98
2023-07-30,Paracetamol,109
2023-07-31,Paracetamol,116
2023-08-01,Paracetamol,113
2023-08-02,Paracetamol,108
2023-08-03,Paracetamol,101
2023-08-04,Paracetamol,92
2023-08-05,Paracetamol,95
2023-08-06,Paracetamol,102
2023-08-07,Paracetamol,111
2023-08-08,Paracetamol,118
2023-08-09,Paracetamol,108
2023-08-10,Paracetamol,99
2023-08-11,Paracetamol,97
2023-08-12,Paracetamol,97
2023-08-13,Paracetamol,106
2023-08-14,Paracetamol,112
2023-08-15,Paracetamol,112
2023-08-16,Paracetamol,111
2023-08-17,Paracetamol,98
2023-08-18,Paracetamol,95
2023-08-19,Paracetamol,96
2023-08-20,Paracetamol,106
2023-08-21,Paracetamol,112
2023-08-22,Paracetamol,115
2023-08-23,Paracetamol,107
2023-08-24,Paracetamol,106
2023-08-25,Paracetamol,94
2023-08-26,Paracetamol,100
2023-08-27,Paracetamol,106
2023-08-28,Paracetamol,114
2023-08-29,Paracetamol,116
2023-08-30,Paracetamol,107
2023-08-31,Paracetamol,104
2023-09-01,Paracetamol,95
2023-09-02,Paracetamol,101
2023-09-03,Paracetamol,106
2023-09-04,Paracetamol,113
2023-09-05,Paracetamol,113
2023-09-06,Paracetamol,109
2023-09-07,Paracetamol,103
2023-09-08,Paracetamol,94
2023-09-09,Paracetamol,95
2023-09-10,Paracetamol,105
2023-09-11,Paracetamol,116
2023-09-12,Paracetamol,120
2023-09-13,Paracetamol,109
2023-09-14,Paracetamol,99
2023-09-15,Paracetamol,96
2023-09-16,Paracetamol,99
2023-09-17,Paracetamol,108
2023-09-18,Paracetamol,119
2023-09-19,Paracetamol,117
2023-09-20,Paracetamol,114
2023-09-21,Paracetamol,102
2023-09-22,Paracetamol,97
2023-09-23,Paracetamol,98
2023-09-24,Paracetamol,106
2023-09-25,Paracetamol,114
2023-09-26,Paracetamol,116
2023-09-27,Paracetamol,110
2023-09-28,Paracetamol,102
2023-09-29,Paracetamol,99
2023-09-30,Paracetamol,103
2023-10-01,Paracetamol,106
2023-10-02,Paracetamol,114
2023-10-03,Paracetamol,118
2023-10-04,Paracetamol,118
2023-10-05,Paracetamol,103
2023-10-06,Paracetamol,99
2023-10-07,Paracetamol,103
2023-10-08,Paracetamol,108
2023-10-09,Paracetamol,117
2023-10-10,Paracetamol,118
2023-10-11,Paracetamol,114
2023-10-12,Paracetamol,101
2023-10-13,Paracetamol,98
2023-10-14,Paracetamol,101
2023-10-15,Paracetamol,109
2023-10-16,Paracetamol,118
2023-10-17,Paracetamol,118
2023-10-18,Paracetamol,110
2023-10-19,Paracetamol,105
2023-10-20,Paracetamol,96
2023-10-21,Paracetamol,99
2023-10-22,Paracetamol,107
2023-10-23,Paracetamol,115
2023-10-24,Paracetamol,115
2023-10-25,Paracetamol,114
2023-10-26,Paracetamol,101
2023-10-27,Paracetamol,101
2023-10-28,Paracetamol,98
2023-10-29,Paracetamol,111
2023-10-30,Paracetamol,116
2023-10-31,Paracetamol,114
2023-11-01,Paracetamol,110
2023-11-02,Paracetamol,106
2023-11-03,Paracetamol,99
2023-11-04,Paracetamol,100
2023-11-05,Paracetamol,104
2023-11-06,Paracetamol,119
2023-11-07,Paracetamol,122
2023-11-08,Paracetamol,116
2023-11-09,Paracetamol,103
2023-11-10,Paracetamol,99
2023-11-11,Paracetamol,102
2023-11-12,Paracetamol,105
2023-11-13,Paracetamol,117
2023-11-14,Paracetamol,120
2023-11-15,Paracetamol,114
2023-11-16,Paracetamol,102
2023-11-17,Paracetamol,97
2023-11-18,Paracetamol,102
2023-11-19,Paracetamol,110
2023-11-20,Paracetamol,112
2023-11-21,Paracetamol,114
2023-11-22,Paracetamol,113
2023-11-23,Paracetamol,103
2023-11-24,Paracetamol,99
2023-11-25,Paracetamol,100
2023-11-26,Paracetamol,111
2023-11-27,Paracetamol,117
2023-11-28,Paracetamol,119
2023-11-29,Paracetamol,111
2023-11-30,Paracetamol,98
2023-12-01,Paracetamol,102
2023-12-02,Paracetamol,106
2023-12-03,Paracetamol,109
2023-12-04,Paracetamol,118
2023-12-05,Paracetamol,120
2023-12-06,Paracetamol,117
2023-12-07,Paracetamol,107
2023-12-08,Paracetamol,101
2023-12-09,Paracetamol,102
2023-12-10,Paracetamol,110
2023-12-11,Paracetamol,114
2023-12-12,Paracetamol,119
2023-12-13,Paracetamol,116
2023-12-14,Paracetamol,105
2023-12-15,Paracetamol,100
2023-12-16,Paracetamol,99
2023-12-17,Paracetamol,111
2023-12-18,Paracetamol,115
2023-12-19,Paracetamol,120
2023-12-20,Paracetamol,114
2023-12-21,Paracetamol,102
2023-12-22,Paracetamol,102
2023-12-23,Paracetamol,102
2023-12-24,Paracetamol,114
2023-12-25,Paracetamol,121
2023-12-26,Paracetamol,118
2023-12-27,Paracetamol,113
2023-12-28,Paracetamol,103
2023-12-29,Paracetamol,97
2023-12-30,Paracetamol,101
2023-12-31,Paracetamol,113
2024-01-01,Paracetamol,114
2024-01-02,Paracetamol,122
2024-01-03,Paracetamol,116
2024-01-04,Paracetamol,107
2024-01-05,Paracetamol,102
2024-01-06,Paracetamol,100
2024-01-07,Paracetamol,112
2024-01-08,Paracetamol,117
2024-01-09,Paracetamol,115
2024-01-10,Paracetamol,115
2024-01-11,Paracetamol,104
2024-01-12,Paracetamol,104
2024-01-13,Paracetamol,102
2024-01-14,Paracetamol,111
2024-01-15,Paracetamol,119
2024-01-16,Paracetamol,120
2024-01-17,Paracetamol,115
2024-01-18,Paracetamol,108
2024-01-19,Paracetamol,99
2024-01-20,Paracetamol,102
2024-01-21,Paracetamol,109
2024-01-22,Paracetamol,122
2024-01-23,Paracetamol,119
2024-01-24,Paracetamol,115
2024-01-25,Paracetamol,105
2024-01-26,Paracetamol,101
2024-01-27,Paracetamol,102
2024-01-28,Paracetamol,112
2024-01-29,Paracetamol,117
2024-01-30,Paracetamol,118
2024-01-31,Paracetamol,114
2024-02-01,Paracetamol,105
2024-02-02,Paracetamol,99
2024-02-03,Paracetamol,103
2024-02-04,Paracetamol,108
2024-02-05,Paracetamol,123
2024-02-06,Paracetamol,118
2024-02-07,Paracetamol,114
2024-02-08,Paracetamol,106
2024-02-09,Paracetamol,105
2024-02-10,Paracetamol,100
2024-02-11,Paracetamol,112
2024-02-12,Paracetamol,121
2024-02-13,Paracetamol,121
2024-02-14,Paracetamol,114
2024-02-15,Paracetamol,107
2024-02-16,Paracetamol,105
2024-02-17,Paracetamol,103
2024-02-18,Paracetamol,115
2024-02-19,Paracetamol,120
2024-02-20,Paracetamol,124
2024-02-21,Paracetamol,117
2024-02-22,Paracetamol,107
2024-02-23,Paracetamol,105
2024-02-24,Paracetamol,105
2024-02-25,Paracetamol,112
2024-02-26,Paracetamol,121
2024-02-27,Paracetamol,124
2024-02-28,Paracetamol,118
2024-02-29,Paracetamol,105
2024-03-01,Paracetamol,101
2024-03-02,Paracetamol,103
2024-03-03,Paracetamol,111
2024-03-04,Paracetamol,118
2024-03-05,Paracetamol,121
2024-03-06,Paracetamol,117
2024-03-07,Paracetamol,109
2024-03-08,Paracetamol,103
2024-03-09,Paracetamol,104
2024-03-10,Paracetamol,115
2024-03-11,Paracetamol,120
2024-03-12,Paracetamol,124
2024-03-13,Paracetamol,116
2024-03-14,Paracetamol,109
2024-03-15,Paracetamol,106
2024-03-16,Paracetamol,100
2024-03-17,Paracetamol,111
2024-03-18,Paracetamol,122
2024-03-19,Paracetamol,125
2024-03-20,Paracetamol,118
2024-03-21,Paracetamol,109
2024-03-22,Paracetamol,106
2024-03-23,Paracetamol,108
2024-03-24,Paracetamol,111
2024-03-25,Paracetamol,121
2024-03-26,Paracetamol,123
2024-03-27,Paracetamol,121
2024-03-28,Paracetamol,110
2024-03-29,Paracetamol,103
2024-03-30,Paracetamol,106
2024-03-31,Paracetamol,109
2024-04-01,Paracetamol,123
2024-04-02,Paracetamol,124
2024-04-03,Paracetamol,120
2024-04-04,Paracetamol,109
2024-04-05,Paracetamol,104
2024-04-06,Paracetamol,105
2024-04-07,Paracetamol,111
2024-04-08,Paracetamol,120
2024-04-09,Paracetamol,120
2024-04-10,Paracetamol,120
2024-04-11,Paracetamol,105
2024-04-12,Paracetamol,108
2024-04-13,Paracetamol,102
2024-04-14,Paracetamol,117
2024-04-15,Paracetamol,120
2024-04-16,Paracetamol,125
2024-04-17,Paracetamol,117
2024-04-18,Paracetamol,113
2024-04-19,Paracetamol,104
2024-04-20,Paracetamol,108
2024-04-21,Paracetamol,114
2024-04-22,Paracetamol,122
2024-04-23,Paracetamol,125
2024-04-24,Paracetamol,117
2024-04-25,Paracetamol,107
2024-04-26,Paracetamol,102
2024-04-27,Paracetamol,106
2024-04-28,Paracetamol,113
2024-04-29,Paracetamol,118
2024-04-30,Paracetamol,125
2024-05-01,Paracetamol,116
2024-05-02,Paracetamol,108
2024-05-03,Paracetamol,104
2024-05-04,Paracetamol,105
2024-05-05,Paracetamol,115
2024-05-06,Paracetamol,126
2024-05-07,Paracetamol,123
2024-05-08,Paracetamol,117
2024-05-09,Paracetamol,111
2024-05-10,Paracetamol,103
2024-05-11,Paracetamol,107
2024-05-12,Paracetamol,115
2024-05-13,Paracetamol,122
2024-05-14,Paracetamol,125
2024-05-15,Paracetamol,119
2024-05-16,Paracetamol,114
2024-05-17,Paracetamol,105
2024-05-18,Paracetamol,107
2024-05-19,Paracetamol,117
2024-05-20,Paracetamol,124
2024-05-21,Paracetamol,124
2024-05-22,Paracetamol,121
2024-05-23,Paracetamol,109
2024-05-24,Paracetamol,105
2024-05-25,Paracetamol,106
2024-05-26,Paracetamol,116
2024-05-27,Paracetamol,125
2024-05-28,Paracetamol,125
2024-05-29,Paracetamol,120
2024-05-30,Paracetamol,109
2024-05-31,Paracetamol,104
2024-06-01,Paracetamol,105
2024-06-02,Paracetamol,111
2024-06-03,Paracetamol,122
2024-06-04,Paracetamol,125
2024-06-05,Paracetamol,124
2024-06-06,Paracetamol,114
2024-06-07,Paracetamol,107
2024-06-08,Paracetamol,112
2024-06-09,Paracetamol,118
2024-06-10,Paracetamol,119
2024-06-11,Paracetamol,127
2024-06-12,Paracetamol,121
2024-06-13,Paracetamol,111
2024-06-14,Paracetamol,103
2024-06-15,Paracetamol,109
2024-06-16,Paracetamol,112
2024-06-17,Paracetamol,124
2024-06-18,Paracetamol,124
2024-06-19,Paracetamol,118
2024-06-20,Paracetamol,114
2024-06-21,Paracetamol,106
2024-06-22,Paracetamol,108
2024-06-23,Paracetamol,118
2024-06-24,Paracetamol,124
2024-06-25,Paracetamol,127
2024-06-26,Paracetamol,122
2024-06-27,Paracetamol,113
2024-06-28,Paracetamol,107
2024-06-29,Paracetamol,112
2024-06-30,Paracetamol,119
2024-07-01,Paracetamol,124
2024-07-02,Paracetamol,124
2024-07-03,Paracetamol,122
2024-07-04,Paracetamol,112
2024-07-05,Paracetamol,110
2024-07-06,Paracetamol,111
2024-07-07,Paracetamol,118
2024-07-08,Paracetamol,124
2024-07-09,Paracetamol,125
2024-07-10,Paracetamol,121
2024-07-11,Paracetamol,113
2024-07-12,Paracetamol,103
2024-07-13,Paracetamol,111
2024-07-14,Paracetamol,121
2024-07-15,Paracetamol,121
2024-07-16,Paracetamol,124
2024-07-17,Paracetamol,122
2024-07-18,Paracetamol,111
2024-07-19,Paracetamol,108
2024-07-20,Paracetamol,109
2024-07-21,Paracetamol,115
2024-07-22,Paracetamol,127
2024-07-23,Paracetamol,128
2024-07-24,Paracetamol,120
2024-07-25,Paracetamol,116
2024-07-26,Paracetamol,106
2024-07-27,Paracetamol,107
2024-07-28,Paracetamol,118
2024-07-29,Paracetamol,126
2024-07-30,Paracetamol,128
2024-07-31,Paracetamol,123
2024-08-01,Paracetamol,114
2024-08-02,Paracetamol,109
2024-08-03,Paracetamol,108
2024-08-04,Paracetamol,116
2024-08-05,Paracetamol,127
2024-08-06,Paracetamol,128
2024-08-07,Paracetamol,123
2024-08-08,Paracetamol,110
2024-08-09,Paracetamol,107
2024-08-10,Paracetamol,114
2024-08-11,Paracetamol,119
2024-08-12,Paracetamol,126
2024-08-13,Paracetamol,129
2024-08-14,Paracetamol,126
2024-08-15,Paracetamol,117
2024-08-16,Paracetamol,105
2024-08-17,Paracetamol,108
2024-08-18,Paracetamol,115
2024-08-19,Paracetamol,124
2024-08-20,Paracetamol,128
2024-08-21,Paracetamol,123
2024-08-22,Paracetamol,111
2023-01-01,Ibuprofen,65
2023-01-02,Ibuprofen,74
2023-01-03,Ibuprofen,73
2023-01-04,Ibuprofen,69
2023-01-05,Ibuprofen,62
2023-01-06,Ibuprofen,58
2023-01-07,Ibuprofen,59
2023-01-08,Ibuprofen,65
2023-01-09,Ibuprofen,72
2023-01-10,Ibuprofen,76
2023-01-11,Ibuprofen,67
2023-01-12,Ibuprofen,59
2023-01-13,Ibuprofen,59
2023-01-14,Ibuprofen,58
2023-01-15,Ibuprofen,65
2023-01-16,Ibuprofen,75
2023-01-17,Ibuprofen,78
2023-01-18,Ibuprofen,69
2023-01-19,Ibuprofen,60
2023-01-20,Ibuprofen,55
2023-01-21,Ibuprofen,60
2023-01-22,Ibuprofen,68
2023-01-23,Ibuprofen,76
2023-01-24,Ibuprofen,78
2023-01-25,Ibuprofen,67
2023-01-26,Ibuprofen,62
2023-01-27,Ibuprofen,54
2023-01-28,Ibuprofen,57
2023-01-29,Ibuprofen,66
2023-01-30,Ibuprofen,75
2023-01-31,Ibuprofen,74
2023-02-01,Ibuprofen,66
2023-02-02,Ibuprofen,62
2023-02-03,Ibuprofen,62
2023-02-04,Ibuprofen,58
2023-02-05,Ibuprofen,66
2023-02-06,Ibuprofen,78
2023-02-07,Ibuprofen,77
2023-02-08,Ibuprofen,71
2023-02-09,Ibuprofen,63
2023-02-10,Ibuprofen,57
2023-02-11,Ibuprofen,56
2023-02-12,Ibuprofen,64
2023-02-13,Ibuprofen,78
2023-02-14,Ibuprofen,77
2023-02-15,Ibuprofen,71
2023-02-16,Ibuprofen,62
2023-02-17,Ibuprofen,58
2023-02-18,Ibuprofen,64
2023-02-19,Ibuprofen,68
2023-02-20,Ibuprofen,73
2023-02-21,Ibuprofen,76
2023-02-22,Ibuprofen,73
2023-02-23,Ibuprofen,61
2023-02-24,Ibuprofen,59
2023-02-25,Ibuprofen,54
2023-02-26,Ibuprofen,66
2023-02-27,Ibuprofen,76
2023-02-28,Ibuprofen,79
2023-03-01,Ibuprofen,70
2023-03-02,Ibuprofen,60
2023-03-03,Ibuprofen,57
2023-03-04,Ibuprofen,57
2023-03-05,Ibuprofen,67
2023-03-06,Ibuprofen,75
2023-03-07,Ibuprofen,74
2023-03-08,Ibuprofen,73
2023-03-09,Ibuprofen,63
2023-03-10,Ibuprofen,60
2023-03-11,Ibuprofen,56
2023-03-12,Ibuprofen,65
2023-03-13,Ibuprofen,76
2023-03-14,Ibuprofen,76
2023-03-15,Ibuprofen,71
2023-03-16,Ibuprofen,63
2023-03-17,Ibuprofen,58
2023-03-18,Ibuprofen,58
2023-03-19,Ibuprofen,68
2023-03-20,Ibuprofen,74
2023-03-21,Ibuprofen,79
2023-03-22,Ibuprofen,72
2023-03-23,Ibuprofen,64
2023-03-24,Ibuprofen,63
2023-03-25,Ibuprofen,58
2023-03-26,Ibuprofen,71
2023-03-27,Ibuprofen,70
2023-03-28,Ibuprofen,73
2023-03-29,Ibuprofen,70
2023-03-30,Ibuprofen,61
2023-03-31,Ibuprofen,59
2023-04-01,Ibuprofen,61
2023-04-02,Ibuprofen,68
2023-04-03,Ibuprofen,76
2023-04-04,Ibuprofen,79
2023-04-05,Ibuprofen,74
2023-04-06,Ibuprofen,61
2023-04-07,Ibuprofen,58
2023-04-08,Ibuprofen,60
2023-04-09,Ibuprofen,69
2023-04-10,Ibuprofen,75
2023-04-11,Ibuprofen,78
2023-04-12,Ibuprofen,73
2023-04-13,Ibuprofen,63
2023-04-14,Ibuprofen,57
2023-04-15,Ibuprofen,61
2023-04-16,Ibuprofen,68
2023-04-17,Ibuprofen,77
2023-04-18,Ibuprofen,76
2023-04-19,Ibuprofen,72
2023-04-20,Ibuprofen,64
2023-04-21,Ibuprofen,61
2023-04-22,Ibuprofen,59
2023-04-23,Ibuprofen,69
2023-04-24,Ibuprofen,77
2023-04-25,Ibuprofen,82
2023-04-26,Ibuprofen,71
2023-04-27,Ibuprofen,63
2023-04-28,Ibuprofen,57
2023-04-29,Ibuprofen,58
2023-04-30,Ibuprofen,73
2023-05-01,Ibuprofen,74
2023-05-02,Ibuprofen,77
2023-05-03,Ibuprofen,76
2023-05-04,Ibuprofen,61
2023-05-05,Ibuprofen,61
2023-05-06,Ibuprofen,59
2023-05-07,Ibuprofen,72
2023-05-08,Ibuprofen,73
2023-05-09,Ibuprofen,76
2023-05-10,Ibuprofen,73
2023-05-11,Ibuprofen,67
2023-05-12,Ibuprofen,60
2023-05-13,Ibuprofen,61
2023-05-14,Ibuprofen,72
2023-05-15,Ibuprofen,82
2023-05-16,Ibuprofen,81
2023-05-17,Ibuprofen,73
2023-05-18,Ibuprofen,64
2023-05-19,Ibuprofen,57
2023-05-20,Ibuprofen,62
2023-05-21,Ibuprofen,66
2023-05-22,Ibuprofen,79
2023-05-23,Ibuprofen,84
2023-05-24,Ibuprofen,76
2023-05-25,Ibuprofen,65
2023-05-26,Ibuprofen,61
2023-05-27,Ibuprofen,65
2023-05-28,Ibuprofen,73
2023-05-29,Ibuprofen,76
2023-05-30,Ibuprofen,81
2023-05-31,Ibuprofen,74
2023-06-01,Ibuprofen,67
2023-06-02,Ibuprofen,61
2023-06-03,Ibuprofen,58
2023-06-04,Ibuprofen,69
2023-06-05,Ibuprofen,78
2023-06-06,Ibuprofen,77
2023-06-07,Ibuprofen,76
2023-06-08,Ibuprofen,63
2023-06-09,Ibuprofen,59
2023-06-10,Ibuprofen,65
2023-06-11,Ibuprofen,69
2023-06-12,Ibuprofen,79
2023-06-13,Ibuprofen,77
2023-06-14,Ibuprofen,79
2023-06-15,Ibuprofen,66
2023-06-16,Ibuprofen,61
2023-06-17,Ibuprofen,63
2023-06-18,Ibuprofen,72
2023-06-19,Ibuprofen,75
2023-06-20,Ibuprofen,80
2023-06-21,Ibuprofen,74
2023-06-22,Ibuprofen,63
2023-06-23,Ibuprofen,63
2023-06-24,Ibuprofen,62
2023-06-25,Ibuprofen,71
2023-06-26,Ibuprofen,79
2023-06-27,Ibuprofen,80
2023-06-28,Ibuprofen,79
2023-06-29,Ibuprofen,67
2023-06-30,Ibuprofen,58
2023-07-01,Ibuprofen,62
2023-07-02,Ibuprofen,72
2023-07-03,Ibuprofen,80
2023-07-04,Ibuprofen,79
2023-07-05,Ibuprofen,77
2023-07-06,Ibuprofen,63
2023-07-07,Ibuprofen,64
2023-07-08,Ibuprofen,61
2023-07-09,Ibuprofen,71
2023-07-10,Ibuprofen,81
2023-07-11,Ibuprofen,81
2023-07-12,Ibuprofen,77
2023-07-13,Ibuprofen,68
2023-07-14,Ibuprofen,64
2023-07-15,Ibuprofen,66
2023-07-16,Ibuprofen,71
2023-07-17,Ibuprofen,81
2023-07-18,Ibuprofen,78
2023-07-19,Ibuprofen,76
2023-07-20,Ibuprofen,69
2023-07-21,Ibuprofen,62
2023-07-22,Ibuprofen,65
2023-07-23,Ibuprofen,71
2023-07-24,Ibuprofen,82
2023-07-25,Ibuprofen,81
2023-07-26,Ibuprofen,75
2023-07-27,Ibuprofen,69
2023-07-28,Ibuprofen,59
2023-07-29,Ibuprofen,65
2023-07-30,Ibuprofen,70
2023-07-31,Ibuprofen,82
2023-08-01,Ibuprofen,81
2023-08-02,Ibuprofen,77
2023-08-03,Ibuprofen,69
2023-08-04,Ibuprofen,59
2023-08-05,Ibuprofen,63
2023-08-06,Ibuprofen,74
2023-08-07,Ibuprofen,82
2023-08-08,Ibuprofen,83
2023-08-09,Ibuprofen,74
2023-08-10,Ibuprofen,69
2023-08-11,Ibuprofen,64
2023-08-12,Ibuprofen,65
2023-08-13,Ibuprofen,75
2023-08-14,Ibuprofen,79
2023-08-15,Ibuprofen,81
2023-08-16,Ibuprofen,72
2023-08-17,Ibuprofen,70
2023-08-18,Ibuprofen,64
2023-08-19,Ibuprofen,61
2023-08-20,Ibuprofen,69
2023-08-21,Ibuprofen,79
2023-08-22,Ibuprofen,84
2023-08-23,Ibuprofen,77
2023-08-24,Ibuprofen,67
2023-08-25,Ibuprofen,61
2023-08-26,Ibuprofen,63
2023-08-27,Ibuprofen,69
2023-08-28,Ibuprofen,78
2023-08-29,Ibuprofen,81
2023-08-30,Ibuprofen,79
2023-08-31,Ibuprofen,68
2023-09-01,Ibuprofen,62
2023-09-02,Ibuprofen,70
2023-09-03,Ibuprofen,72
2023-09-04,Ibuprofen,83
2023-09-05,Ibuprofen,86
2023-09-06,Ibuprofen,74
2023-09-07,Ibuprofen,69
2023-09-08,Ibuprofen,63
2023-09-09,Ibuprofen,64
2023-09-10,Ibuprofen,75
2023-09-11,Ibuprofen,80
2023-09-12,Ibuprofen,82
2023-09-13,Ibuprofen,78
2023-09-14,Ibuprofen,68
